Pet Name,Breed,Size,Gender,Age,Top 3 Personality Traits
Rocky,Poodle,Large,Female,1,"Calm, Active, Gentle"
Bailey,German Shepherd,Large,Male,14,"Curious, Protective, Loyal"
Baxter,Labrador Retriever,Large,Male,1,"Independent, Intelligent, Stubborn"
Lucy,Poodle,Medium,Female,10,"Adventurous, Affectionate, Energetic"
Sophie,Boston Terrier,Small,Male,14,"Trainable, Friendly, Playful"
Luna,Dachshund,Small,Male,6,"Stubborn, Energetic, Protective"
Bonnie,Siberian Husky,Medium,Female,11,"Curious, Calm, Friendly"
Cooper,Golden Retriever,Large,Female,2,"Playful, Active, Affectionate"
Nala,Yorkshire Terrier,Small,Female,14,"Intelligent, Adventurous, Loyal"
Chloe,Bulldog,Medium,Male,11,"Gentle, Trainable, Independent"
Rusty,Boxer,Large,Male,4,"Friendly, Intelligent, Affectionate"
Daisy,Great Dane,Extra Large,Female,1,"Adventurous, Trainable, Active"
Max,Boston Terrier,Small,Female,15,"Independent, Gentle, Calm"
Sadie,Bulldog,Medium,Male,11,"Loyal, Curious, Playful"
Ace,Poodle,Large,Male,11,"Protective, Stubborn, Energetic"
Jake,Boston Terrier,Small,Female,13,"Intelligent, Affectionate, Stubborn"
Stella,Dachshund,Small,Female,12,"Protective, Friendly, Calm"
Charlie,Pomeranian,Small,Male,13,"Adventurous, Independent, Playful"
Maggie,Pomeranian,Small,Female,8,"Gentle, Active, Curious"
Sandy,Cavalier King Charles Spaniel,Small,Female,10,"Trainable, Energetic, Loyal"
Quinn,Doberman Pinscher,Medium,Female,6,"Adventurous, Protective, Independent"
Thor,Great Dane,Extra Large,Male,3,"Affectionate, Gentle, Friendly"
Bentley,Cavalier King Charles Spaniel,Small,Male,2,"Stubborn, Calm, Curious"
Coco,Boston Terrier,Small,Female,2,"Active, Intelligent, Energetic"
Iris,Labrador Retriever,Medium,Female,1,"Playful, Loyal, Trainable"
Frankie,Cavalier King Charles Spaniel,Small,Male,11,"Energetic, Loyal, Playful"
Milo,Bulldog,Medium,Male,8,"Trainable, Stubborn, Affectionate"
Levi,Beagle,Small,Male,10,"Adventurous, Protective, Independent"
Oscar,Bulldog,Medium,Male,9,"Curious, Active, Friendly"
Shadow,Bulldog,Medium,Female,6,"Calm, Gentle, Intelligent"
Willow,Australian Shepherd,Medium,Female,9,"Adventurous, Independent, Protective"
Honey,Cavalier King Charles Spaniel,Small,Female,12,"Gentle, Playful, Intelligent"
Ziggy,Shetland Sheepdog,Medium,Male,4,"Calm, Trainable, Loyal"
Dixie,Poodle,Medium,Female,15,"Affectionate, Stubborn, Curious"
Cash,Rottweiler,Large,Male,12,"Energetic, Active, Friendly"
Winston,Boston Terrier,Small,Male,7,"Adventurous, Trainable, Protective"
Maverick,Australian Shepherd,Medium,Male,14,"Stubborn, Independent, Loyal"
Ginger,Boxer,Medium,Male,1,"Affectionate, Playful, Calm"
Rocco,Labrador Retriever,Medium,Female,14,"Active, Curious, Energetic"
Princess,Rottweiler,Medium,Female,8,"Friendly, Intelligent, Gentle"
Loki,Golden Retriever,Medium,Male,3,"Playful, Friendly, Gentle"
Enzo,Shetland Sheepdog,Medium,Male,1,"Affectionate, Trainable, Energetic"
Bella,Shetland Sheepdog,Medium,Female,1,"Independent, Stubborn, Curious"
Rocket,Bulldog,Medium,Male,12,"Loyal, Calm, Active"
Athena,Boston Terrier,Small,Female,13,"Protective, Adventurous, Intelligent"
Charlotte,Cavalier King Charles Spaniel,Small,Female,12,"Adventurous, Calm, Independent"
Goose,Cavalier King Charles Spaniel,Small,Male,13,"Intelligent, Affectionate, Loyal"
Benji,Bulldog,Medium,Male,4,"Friendly, Energetic, Gentle"
Skye,Labrador Retriever,Large,Female,4,"Trainable, Protective, Stubborn"
Apollo,Shetland Sheepdog,Medium,Male,9,"Curious, Playful, Active"
Gracie,Australian Shepherd,Medium,Female,9,"Friendly, Affectionate, Gentle"
Diesel,Yorkshire Terrier,Small,Male,12,"Independent, Adventurous, Curious"
Toby,Siberian Husky,Medium,Male,9,"Energetic, Stubborn, Playful"
Mabel,Cavalier King Charles Spaniel,Small,Female,13,"Intelligent, Protective, Calm"
Harley,Poodle,Small,Female,3,"Active, Trainable, Loyal"
Riley,German Shepherd,Medium,Female,2,"Independent, Stubborn, Friendly"
Mila,Dachshund,Small,Female,5,"Protective, Playful, Trainable"
Hank,Shih Tzu,Small,Male,6,"Curious, Active, Calm"
Molly,Dachshund,Small,Female,2,"Affectionate, Loyal, Gentle"
Lady,Dachshund,Small,Female,3,"Intelligent, Adventurous, Energetic"
Bruno,Siberian Husky,Large,Male,15,"Gentle, Playful, Loyal"
Oreo,Boxer,Large,Male,6,"Active, Protective, Stubborn"
Simba,Great Dane,Extra Large,Male,10,"Energetic, Adventurous, Affectionate"
Tucker,Bulldog,Medium,Male,7,"Trainable, Calm, Independent"
Ruby,Pomeranian,Small,Female,6,"Friendly, Curious, Intelligent"
Harper,Golden Retriever,Large,Female,13,"Active, Friendly, Intelligent"
Lulu,Rottweiler,Medium,Female,2,"Curious, Protective, Calm"
Gigi,Cavalier King Charles Spaniel,Small,Female,14,"Adventurous, Energetic, Affectionate"
Koda,Siberian Husky,Large,Female,14,"Trainable, Loyal, Stubborn"
Marley,German Shepherd,Medium,Female,10,"Playful, Gentle, Independent"
Buddy,Siberian Husky,Large,Male,7,"Playful, Friendly, Intelligent"
Lola,Doberman Pinscher,Large,Female,3,"Affectionate, Gentle, Loyal"
Hazel,Shetland Sheepdog,Medium,Female,4,"Calm, Adventurous, Protective"
Oakley,Rottweiler,Large,Female,12,"Curious, Independent, Trainable"
Rio,Yorkshire Terrier,Small,Male,11,"Active, Stubborn, Energetic"
Sasha,Golden Retriever,Medium,Female,9,"Trainable, Energetic, Playful"
Maya,Yorkshire Terrier,Small,Female,3,"Affectionate, Intelligent, Independent"
Sam,Shih Tzu,Small,Male,13,"Calm, Curious, Gentle"
Duke,Shetland Sheepdog,Medium,Male,9,"Active, Stubborn, Protective"
Cleo,Siberian Husky,Medium,Female,4,"Loyal, Friendly, Adventurous"
Jasper,Doberman Pinscher,Large,Male,4,"Curious, Intelligent, Affectionate"
Rex,Bulldog,Medium,Male,13,"Playful, Loyal, Stubborn"
Freya,Cavalier King Charles Spaniel,Small,Female,10,"Gentle, Active, Trainable"
Finn,Dachshund,Small,Male,1,"Friendly, Protective, Independent"
Mocha,Shetland Sheepdog,Medium,Female,9,"Adventurous, Energetic, Calm"
Dexter,Rottweiler,Large,Male,3,"Trainable, Curious, Loyal"
Lilo,Boston Terrier,Small,Female,8,"Energetic, Calm, Active"
Lexi,Bulldog,Medium,Female,10,"Gentle, Intelligent, Adventurous"
Kobe,Labrador Retriever,Large,Male,2,"Independent, Playful, Affectionate"
Echo,Pomeranian,Small,Female,10,"Protective, Friendly, Stubborn"
Raven,German Shepherd,Large,Female,7,"Playful, Gentle, Intelligent"
Scout,Shetland Sheepdog,Medium,Male,11,"Protective, Affectionate, Calm"
Murphy,Siberian Husky,Large,Male,3,"Loyal, Stubborn, Friendly"
Layla,Great Dane,Extra Large,Female,1,"Energetic, Curious, Adventurous"
Benny,Beagle,Medium,Male,4,"Active, Trainable, Independent"
Penny,Bulldog,Medium,Female,6,"Adventurous, Curious, Friendly"
Damian,Siberian Husky,Large,Male,11,"Affectionate, Stubborn, Gentle"
Shelby,Siberian Husky,Medium,Female,13,"Independent, Trainable, Protective"
Abby,Shetland Sheepdog,Medium,Female,2,"Energetic, Active, Intelligent"
Missy,Great Dane,Extra Large,Female,3,"Playful, Calm, Loyal"
